author      entry        time(h)
admin           Stokes       0.58 
admin           StpPot       0.17 
admin           SubMnf       0.17 
admin           SufCnd       0.25 
admin           SurInt       0.25 
admin           SymEig       0.33 
admin           SymMat       0.42 
admin           SysMom       0.75 
admin           TDPEx        0.67 
admin           TDPT         2.25 
admin           TDSE         0.42 
admin           TTGaug       0.58 
admin           TYPEst       0.17 
admin           TanL         0.25 
admin           Taylor       3.25 
admin           Taylr2       0.17 
admin           Td2Law       0.17 
admin           TeXliv       0.25 
admin           TenMan       0.17 
admin           TenPT        0.17 
admin           Tensor       0.50 
admin           Th1Law       0.42 
admin           ThCapa       1.00 
admin           ThreeJ       0.42 
admin           TimeCa       2.08 
admin           TopGrp       0.25 
admin           TopSpc       0.17 
admin           Topo1        0.17 
admin           Topo2        0.50 
admin           Topo3        0.50 
admin           Topo6        0.25 
admin           Topo7        0.17 
admin           Topo8        0.33 
admin           Topol        1.83 
admin           Torque       0.75 
admin           TrLgdr       0.58 
admin           TrTnsr       0.17 
admin           TransM       0.17 
admin           Tri2St       0.33 
admin           TriCro       0.42 
admin           TriEqv       0.33 
admin           TriLim       0.33 
admin           TriVM        0.42 
admin           TrigH        0.17 
admin           TrmSym       0.33 
admin           TwoAtF       0.17 
admin           TwoBD        0.42 
admin           UCBas        0.50 
admin           UFD          0.33 
admin           Uncert       0.92 
admin           UniCnt       0.33 
admin           UniCnv       0.33 
admin           UniEvo       0.92 
admin           UniMat       0.50 
admin           UniPre       1.42 
admin           Unitar       0.42 
admin           Units        3.83 
admin           V            0.42 
admin           VaporP       0.58 
admin           VarCur       0.17 
admin           VbExp        0.67 
admin           VcPlWv       0.83 
admin           VecAnl       0.33 
admin           VecBun       0.17 
admin           VecCon       0.50 
admin           VecCur       0.33 
